1000,36,,1000,25,,Hirschberg,,,DynamicProgramming,,,DynamicProgramming,,,DynamicProgramming,
,,,,,,1270,19,,1270,34,,1270,26,,1270,26
,,,,,,1280,19,,1280,35,,1280,26,,1280,26
,,,,,,1290,20,,1290,35,,1290,27,,1290,28
,,,,,,1300,20,,1300,34,,1300,27,,1300,27
,,,,,,1310,20,,1310,40,,1310,28,,1310,27
,,,,,,1320,20,,1320,37,,1320,28,,1320,28
,,,,,,1330,21,,1330,36,,1330,28,,1330,29
,,,,,,1340,20,,1340,35,,1340,29,,1340,29
,,,,,,1350,21,,1350,30,,1350,31,,1350,31
,,,,,,1360,21,,1360,31,,1360,31,,1360,29
,,,,,,1370,22,,1370,31,,1370,32,,1370,31
,,,,,,1380,22,,1380,30,,1380,30,,1380,31
,,,,,,1390,23,,1390,32,,1390,31,,1390,31
,,,,,,1400,23,,1400,33,,1400,32,,1400,32
,,,,,,1410,23,,1410,33,,1410,32,,1410,34
,,,,,,1420,23,,1420,33,,1420,34,,1420,33
,,,,,,1430,23,,1430,34,,1430,33,,1430,34
,,,,,,1440,24,,1440,37,,1440,34,,1440,34
,,,,,,1450,25,,1450,34,,1450,37,,1450,34
,,,,,,1460,25,,1460,34,,1460,36,,1460,40
,,,,,,1470,25,,1470,41,,1470,35,,1470,36
,,,,,,1480,25,,1480,35,,1480,35,,1480,39
,,,,,,1490,25,,1490,37,,1490,37,,1490,41
,,,,,,1500,26,,1500,37,,1500,36,,1500,40
,,,,,,1510,26,,1510,38,,1510,37,,1510,37
,,,,,,1520,27,,1520,38,,1520,37,,1520,37
,,,,,,1530,27,,1530,39,,1530,38,,1530,38
,,,,,,1540,27,,1540,39,,1540,39,,1540,39
,,,,,,1550,28,,1550,39,,1550,39,,1550,39
,,,,,,1560,28,,1560,41,,1560,39,,1560,40
,,,,,,1570,28,,1570,41,,1570,41,,1570,40
,,,,,,1580,29,,1580,41,,1580,40,,1580,41
,,,,,,1590,30,,1590,48,,1590,41,,1590,41
,,,,,,1600,30,,1600,53,,1600,42,,1600,41
,,,,,,1610,30,,1610,53,,1610,42,,1610,43
,,,,,,1620,31,,1620,54,,1620,42,,1620,42
,,,,,,1630,32,,1630,54,,1630,44,,1630,43
,,,,,,1640,31,,1640,55,,1640,44,,1640,43
,,,,,,1650,32,,1650,52,,1650,44,,1650,44
,,,,,,1660,32,,1660,45,,1660,45,,1660,45
,,,,,,1670,32,,1670,45,,1670,45,,1670,45
,,,,,,1680,32,,1680,46,,1680,45,,1680,45
,,,,,,1690,32,,1690,48,,1690,46,,1690,46
,,,,,,1700,33,,1700,48,,1700,47,,1700,49
,,,,,,1710,35,,1710,47,,1710,48,,1710,48
,,,,,,1720,34,,1720,48,,1720,48,,1720,48
,,,,,,1730,35,,1730,48,,1730,49,,1730,48
,,,,,,1740,35,,1740,50,,1740,50,,1740,51
,,,,,,1750,35,,1750,50,,1750,50,,1750,50
,,,,,,1760,36,,1760,51,,1760,50,,1760,50
,,,,,,1770,36,,1770,53,,1770,51,,1770,51
,,,,,,1780,37,,1780,52,,1780,53,,1780,51
,,,,,,1790,37,,1790,59,,1790,53,,1790,51
,,,,,,1800,38,,1800,53,,1800,53,,1800,54
,,,,,,1810,38,,1810,54,,1810,54,,1810,53
,,,,,,1820,38,,1820,53,,1820,54,,1820,54
,,,,,,1830,39,,1830,55,,1830,54,,1830,55
,,,,,,1840,40,,1840,55,,1840,69,,1840,54
,,,,,,1850,39,,1850,56,,1850,92,,1850,55
,,,,,,1860,40,,1860,57,,1860,84,,1860,56
,,,,,,1870,40,,1870,57,,1870,57,,1870,57
,,,,,,1880,42,,1880,58,,1880,85,,1880,58
,,,,,,1890,42,,1890,59,,1890,62,,1890,61
,,,,,,1900,43,,1900,60,,1900,58,,1900,63
,,,,,,1910,42,,1910,59,,1910,62,,1910,61
,,,,,,1920,43,,1920,73,,1920,60,,1920,61
,,,,,,1930,43,,1930,76,,1930,62,,1930,63
,,,,,,1940,44,,1940,78,,1940,62,,1940,64
,,,,,,1950,44,,1950,78,,1950,63,,1950,63
,,,,,,1960,45,,1960,79,,1960,62,,1960,63
,,,,,,1970,46,,1970,80,,1970,63,,1970,64
,,,,,,1980,46,,1980,82,,1980,63,,1980,65
,,,,,,1990,47,,1990,65,,1990,64,,1990,68
,,,,,,2000,46,,2000,65,,2000,65,,2000,68
,,,,,,2010,47,,2010,66,,2010,66,,2010,69
,,,,,,2020,47,,2020,68,,2020,67,,2020,68
,,,,,,2030,48,,2030,68,,2030,67,,2030,68
,,,,,,2040,53,,2040,68,,2040,68,,2040,69
,,,,,,2050,49,,2050,69,,2050,71,,2050,67
,,,,,,2060,50,,2060,70,,2060,70,,2060,71
,,,,,,2070,51,,2070,70,,,,,2070,71
,,,,,,2080,51,,2080,73,,,,,,
